gene	conMean	treatMean	logFC	pValue	fdr
TGM3	1.75835214	3.08283125962567	1.32447911962567	2.56180341594903e-22	2.06463590995235e-21
MAGEA6	1.7924059	2.80978748187166	1.01738158187166	7.11359203768872e-05	0.000101476677113864
MRPL28	5.05790352	5.6689609057754	0.611057385775401	4.7409323624862e-16	1.63708583103364e-15
TRMT1	2.98906104	3.98445742347594	0.995396383475936	4.41851284396765e-27	2.13271715577958e-25
CPNE1	4.79871316	5.71834951614973	0.919636356149732	2.06580621471031e-20	1.20205970319738e-19
HSF4	2.42315854	3.3346815240107	0.911522984010695	1.60665907701983e-24	2.32268733671296e-23
LSM3	5.55798634	6.24089675066845	0.682910410668449	2.15391722360856e-19	1.08284296164681e-18
TTC23	2.58989852	3.2245111794385	0.634612659438503	1.36326651317936e-17	5.56971929274435e-17
AGPAT1	4.4906266	5.50710086959893	1.01647426959893	2.01797604954554e-24	2.80705235364343e-23
DHX8	3.03090712	3.61756291032086	0.586655790320855	5.02323953111968e-19	2.40489294191762e-18
SLC16A4	3.37451868	2.58810358644385	-0.78641509355615	3.27567334499716e-12	8.00830961980623e-12
PDLIM7	2.35967634	3.18638340713904	0.826707067139037	1.9878386778784e-22	1.6471462515666e-21
ZNF318	2.7355208	3.41720094887701	0.681680148877005	1.1443635127068e-16	4.22229027056774e-16
CBFA2T2	2.41016482	3.08038198018717	0.670217160187166	1.15785739420415e-25	2.55683859075131e-24
CLDN15	3.81050006	5.12163333347594	1.31113327347594	1.24610304242924e-14	3.73619422056262e-14
ABCA6	5.7775621	5.06244631262032	-0.715115787379679	1.88571895212767e-05	2.80933639806775e-05
ZKSCAN1	4.52320516	5.25119222909091	0.72798706909091	4.19215729943885e-13	1.0987930393455e-12
SRPX	5.07496242	3.27661404839572	-1.79834837160428	1.38769696185232e-20	8.32712450002822e-20
CUEDC1	2.45429512	3.32740571663102	0.873110596631016	3.81155850405552e-21	2.50875531045622e-20
CAP2	2.47954568	4.49940317754011	2.01985749754011	7.9825716284017e-25	1.25462731661338e-23
NCOR2	3.18014846	3.84593733745989	0.665788877459893	1.06057516689059e-19	5.52687932102925e-19
KIAA0556	2.68275124	3.29064789352941	0.607896653529412	2.75403105011638e-22	2.20148020503873e-21
RGN	8.05823698	7.22007754764706	-0.838159432352941	8.12843795715296e-08	1.43740725676741e-07
TGFBR3	4.79830882	4.14222699005348	-0.656081829946524	2.83992554786577e-08	5.191445025724e-08
TTC27	2.92044162	3.73675536393048	0.816313743930481	4.91031684757351e-25	8.34092859896477e-24
ANXA2	5.7012225	7.4154841163369	1.7142616163369	6.77224223070758e-19	3.18356655794785e-18
